"","Survey ID","title","Year(s) of study","WHO region","Female participants (N)","Male participants (N)","Reported estimate used","Female TB prevalence (as reported)","Male TB prevalence (as reported)"
"82","South Africa (National)","Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis In South Africa, 2017–19: a Multistage, Cluster-Based, Cross-Sectional Survey","2017-2019","Africa (WHO)",21803,13388,"Adjusted bacteriological positive TB prevalence","675 (494-855)","1094 (835-1352)"
"83","China (Multiple Areas)","Prevalence And Risk Factors Of Active Pulmonary Tuberculosis Among Elderly People In China: a Population Based Cross-Sectional Study","2013","Western Pacific (WHO)",16057,18212,"Crude bacteriological positive TB prevalence","93.35 (48.97-137.72)","280.25 (198.37-362.14)"
"84","South Africa (Kwazulu Natal)","Convergence Of Infectious And Non-Communicable Disease  Epidemics In Rural South Africa: a Cross-Sectional, Population-Based Multimorbidity Study","2018-2019","Africa (WHO)",11618,5500,"Adjusted bacteriological positive TB prevalence","1100 (1000-1300)","1800 (1500-2200)"
"85","India (Kashmir Valley)","Estimation Of The Burden Of Bacteriologically Positive Tuberculosis Among Adults In Kashmir: A Baseline For Future Surveys In The Valley","2017","South-East Asia (WHO)",20858,21974,"Count of bacteriological positive TB","17","7"
"86","India (National Tribal) ","Prevalence Of Pulmonary Tuberculosis Among The Tribal Populations In India","2015-2020","South-East Asia (WHO)",39000,35532,"Count of bacteriological positive TB","65","134"
"87","India (Saharia Tribal) ","Declining Tuberculosis Prevalence In Saharia, a Particularly Vulnerable Tribal Community In Central India: Evidences For Action","2013-2013","South-East Asia (WHO)",4975,4781,"Count of bacteriological positive TB","62","231"
"88","India (Maharashtra Tribal)","Burden Of Pulmonary Tuberculosis Among Tribal Population: A Cross‑Sectional Study In Tribal Areas Of Maharashtra, India","2015-2017","South-East Asia (WHO)",3601,3297,"Count of smear positive TB","1","3"
"89","Viet Nam (National)","The Second National Tuberculosis Prevalence Survey In Vietnam","2017-2018","Western Pacific (WHO)",34613,27150,"Adjusted bacteriological positive TB prevalence","133 (89-198)","522 (420-648)"
"90","China (Xinjiang Uyghur Region)","Prevalence Of Pulmonary Tuberculosis In Western China In 2010–11: a Population-Based, Cross-Sectional Survey","2010-2011","Western Pacific (WHO)",15397,14438,"Adjusted bacteriological positive TB prevalence","341 (143-538)","519 (327-712)"
"91","Ethiopia (Hawassa Zuria District) ","Population-Based Screening For Pulmonary Tuberculosis Utilizing Community Health Workers In Ethiopia","2016","Africa (WHO)",12307,12210,"Count of bacteriological positive TB","18","16"
"92","Ethiopia (Hetosa District) ","Prevalence And Incidence Of Smear-Positive Pulmonary Tuberculosis In The Hetosa District Of Arsi Zone, Oromia Regional State Of Central Ethiopia","2013","Africa (WHO)",16166,16907,"Adjusted bacteriological positive TB prevalence","148.5 (81.9-210.4)","112.2 (55.8-170.2)"
"93","Malawi (Blantyre)","Prevalence Of Bacteriologically-Confirmed Pulmonary Tuberculosis In Urban Blantyre, Malawi 2019–20: Substantial Decline Compared To 2013–14 National Survey","2019-2020","Africa (WHO)",9423,6131,"Adjusted bacteriological positive TB prevalence","100 (55-183)","225 (105-479)"
"94","India (Tiruvallur District)","Prevalence Of Bacteriologically Confirmed Pulmonary Tuberculosis And Associated Risk Factors: A Community Survey In Thirvallur District, South India","2015-2018","South-East Asia (WHO)",32956,29538,"Count of bacteriological positive TB","28","164"
"95","Ethiopia (Multiple Areas)","Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia","2012-2013","Africa (WHO)",4975,5084,"Crude smear positive TB prevalence","121 (55-263)","157 (80-310)"
"96","Ghana (National)","National Population-Based Tuberculosis Prevalence Survey In Ghana, 2013","2013","Africa (WHO)",37038,24688,"Adjusted bacteriological positive TB prevalence","303 (223-382)","431 (327-536)"
"97","India (Pohari Block, Shivpuri District)","High Incidence Of Pulmonary Tuberculosis Inan Indigenous Saharia Tribe In Madhyapradesh, Central India—A Prospective Cohortstudy","2012-2013, 2014-2015","South-East Asia (WHO)",4975,4781,"Count of bacteriological positive TB","62","231"
"98","India (Saharia Tribal) ","Persistent High Prevalence Of Pulmonary Tuberculosis In a Resource-Limited Setting: Threat To India’s Tb Free Campaign","2019","South-East Asia (WHO)",10070,10044,"Crude bacteriological positive TB prevalence","546 (411-710)","2170 (1895-2475)"
"99","Ethiopia (Dale District) ","Prevalence And Incidence Of Symptomatic Pulmonary Tuberculosis Based On Repeated Population Screening In a District In Ethiopia: a Prospective Cohort Study","2016-2017","Africa (WHO)",NA,NA,"Crude bacteriological positive TB prevalence","93 (72-118)","122 (98-151)"
