measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1999,0.000192018,0.000218171,0.000171489
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1999,0.00024022,0.000270538,0.000215783
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1999,92.10999023,100.9121938,83.72810548
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1999,64.45888495,71.4101346,58.265635692720004
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1999,78.71704727,86.48667175,71.51602623
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2000,580156.2187060138,637059.6326704419,528551.1650510401
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2000,378016.99849134014,419560.55182296655,342011.91296806035
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2000,958173.2171973536,1055990.2008052375,873116.8391
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2000,0.000281661,0.000316088,0.000251686
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2000,0.000185603,0.000210238,0.000166082
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2000,0.000233899,0.000261946,0.000210233
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2000,89.43975718,98.21226941420998,81.48406641868999
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2000,61.92634971,68.73197121,56.02803422
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,76.10070736,83.86959664460001,69.34529985
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2001,567557.4770710268,624106.6208274262,517265.3817637493
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2001,364348.4211,404302.6620557591,329954.3271651963
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2001,931905.8981241824,1026423.4908640372,849677.6566965788
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2001,0.00027586,0.000308838,0.00024729
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2001,0.000178547,0.0002017,0.000160247
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2001,0.0002274,0.000254736,0.000204438
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2001,87.17572065,95.86155875,79.45095298
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2001,59.359269029930005,65.86857277,53.75581872
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2001,73.67706988,81.14969055867999,67.17605309043999
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2002,553554.9565517817,607807.0352534617,504558.5890625458
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2002,348061.2244,385515.0765804445,315628.75797638774
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2002,901616.1809439862,991383.1335974436,821496.5453072994
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2002,0.000268302,0.000300357,0.000240068
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2002,0.000169625,0.000190359,0.000152501
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2002,0.000219095,0.000245017,0.000197154
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2002,84.668189,92.96623637,77.17402125
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2002,56.366235279259996,62.431641295809996,51.1140098
