"Study.title","Study.ID","Column.name","Error.message"
"Results from the national TB prevalence survey of Indonesia",26858,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"SURVEY FOR ASSESSING PREVALENCE OF PULMONARY TUBERCULOSIS CASES IN THE POPULATION BASED STATE OF GUJARAT, INDIA (2011-2012) Report on Population based survey to assess prevalence of pulmonary tuberculosis cases in the state of Gujarat, India (2011-12) Ded",26983,"n.presumptive.tb.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Lesotho Tuberculosis Prevalence Survey",26862,"n.presumptive.tb.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Declining tuberculosis prevalence in Saharia, a particularly vulnerable tribal community in Central India: evidences for action (2015 survey)",26980,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator (ASSAM)",26979,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Changes in pulmonary tuberculosis prevalence: Evidence from the 2010 population survey in a populous province of China",26951,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis prevalence in China, 1990-2010; a longitudinal analysis of national survey data",26949,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey",26948,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Do women with tuberculosis have a lower likelihood of getting diagnosed? Prevalence and case detection of sputum smear positive pulmonary TB, a population-based study from Vietnam",26943,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Two-thirds of smear-positive tuberculosis cases in the community were undiagnosed in Northwest Ethiopia: population based cross-sectional study",26942,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of tuberculosis in Faridabad district, Haryana State, India",26939,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator",26932,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India",26930,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011",26928,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs",26924,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Report on national TB prevalence survey 2009-2010, Myanmar",26915,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"The first national TB prevalence survey of Lao PDR (2010-2011)",26905,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"A rapid survey to determine the prevalence of smear-positive tuberculosis in Addis Ababa",26888,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India",26884,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh",26878,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis on the roof of the world",26874,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan",26873,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",26868,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Eswatini National Tuberculosis Prevalence Survey Report, 2018-2019",26865,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Fourth National Tuberculosis Prevalence Survey Report (2017-2018) Myanmar",26864,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Lesotho Tuberculosis Prevalence Survey",26862,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"KENYA TUBERCULOSIS PREVALENCE SURVEY",26860,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Results from the national TB prevalence survey of Indonesia",26858,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Estimation of the burden of bacteriologically positive Tuberculosis among Adults in Kashmir: A baseline for future surveys in the Valley",26237,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the tribal populations in India",26096,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in western China in 2010-11: a population-based, cross-sectional survey",24214,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence and Incidence of Smear-Positive Pulmonary Tuberculosis in the Hetosa District of Arsi Zone, Oromia Regional State of Central Ethiopia",22718,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of bacteriologically confirmed pulmonary tuberculosis and associated risk factors: A community survey in Thirvallur District, south India",22089,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"National population-based tuberculosis prevalence survey in Ghana, 2013",21508,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
