"Study.title","Study.ID","Column.name"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","other.culture.samples"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","other.test.used"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","radiologic.tb.definition"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","other.definitions"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","additional.references"
"Report of DPRK National TB
Prevalence Survey
(2015–2016)","26861","radiologic.tb.definition"
"REPORT OF THE FIRST NATIONAL
TUBERCULOSIS PREVALENCE SURVEY
IN MONGOLIA
2014-2015","26866","other.smear.samples"
"REPORT OF THE FIRST NATIONAL
TUBERCULOSIS PREVALENCE SURVEY
IN MONGOLIA
2014-2015","26866","other.culture.samples"
"REPORT OF THE FIRST NATIONAL
TUBERCULOSIS PREVALENCE SURVEY
IN MONGOLIA
2014-2015","26866","other.test.used"
"REPORT OF THE FIRST NATIONAL
TUBERCULOSIS PREVALENCE SURVEY
IN MONGOLIA
2014-2015","26866","other.definitions"
"Report of the national TB prevalence survey, 2002","26912","additional.references"
"Report on national TB prevalence survey 2009-2010, Myanmar","26915","study.id"
"Results from the national TB prevalence survey of Indonesia","26858","study.setting"
"Significant decline in the tuberculosis burden in the Philippines ten years after initiating DOTS","26944","additional.references"
"Sputum positive point prevalence survey (1994)","26916","study.id"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU)","26971","other.smear.samples"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU)","26971","other.xpert.samples"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU)","26971","other.culture.samples"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU)","26971","other.test.used"
